"model","rep_id","iter","l2_error","tp","fp","fn","precision","recall","f1","jaccard_prev","hamming_prev","window_union_size","window_union_false_size","false_effective_width_current"
"linear",2,245,0.255401516149862,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,21,11,10
"linear",2,250,0.256556640925195,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,22,12,10
"linear",2,255,0.259157217180335,10,10,0,0.5,1,0.666666666666667,0,0,22,12,10
"linear",2,260,0.263036080704712,10,10,0,0.5,1,0.666666666666667,0,0,22,12,10
"linear",2,265,0.26750419287104,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",2,270,0.271915842618613,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,275,0.276333599466563,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,280,0.280427227688185,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,285,0.284096403787856,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,290,0.286893438409071,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,295,0.288902493091737,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,300,0.290568212394558,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,305,0.292100465188979,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,310,0.293408004077403,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,315,0.294539008264515,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,320,0.295517833839019,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,325,0.296264135337562,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,330,0.296702654144362,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,335,0.296851843665252,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,340,0.296865200886924,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,345,0.296821321504352,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,350,0.296699389542544,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,355,0.296523099318233,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,360,0.296322049856869,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,365,0.296121872980725,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,370,0.295933366135819,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,375,0.295741317168481,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,380,0.295533597818612,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,385,0.29525021186029,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,390,0.295030174693646,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,395,0.294880478693988,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,400,0.294733968641138,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,405,0.294487701674485,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,410,0.294161029489693,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,415,0.293784682001579,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,420,0.2933832103931,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,425,0.293002978671338,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,430,0.292670302745994,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,435,0.292406250395432,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,440,0.292203608118736,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,445,0.291852885362682,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,450,0.291427280916988,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,455,0.29104518764581,10,10,0,0.5,1,0.666666666666667,0.0952380952380952,2,21,11,10
"linear",2,460,0.291257018196764,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",2,465,0.292225240835484,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",2,470,0.293330137439774,10,10,0,0.5,1,0.666666666666667,0,0,21,11,10
"linear",2,475,0.294566258231366,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,480,0.295863506472012,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,485,0.296857660797994,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,490,0.29780821323508,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,495,0.298776423961279,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",2,500,0.299810004539822,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,0,4.74513812292805,0,0,10,NA,0,NA,NA,NA,0,0,NA
"linear",3,1,4.62186762839769,10,10,0,0.5,1,0.666666666666667,1,20,20,10,10
"linear",3,2,4.50307974219645,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,3,4.3886176224076,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,4,4.2779073576548,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,5,4.17078711764564,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,6,4.06719484880867,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,7,3.96721339711444,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,8,3.87044035850826,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,9,3.77704631864766,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,10,3.68655752622274,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,11,3.59855830419117,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,12,3.5130162749847,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,13,3.42965814538266,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,14,3.34845990417304,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,15,3.26951228843979,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,16,3.19299712665702,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,17,3.11877685045286,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,18,3.046867084763,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,19,2.97719737257001,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,20,2.90962889976273,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,21,2.84379422603861,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,22,2.77956916892533,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,23,2.71704237474756,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,24,2.65638032092211,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,25,2.59738835570407,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,26,2.54003480372591,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
"linear",3,27,2.48440427370128,10,10,0,0.5,1,0.666666666666667,0,0,20,10,10
