"model","rep_id","radius_id","radius","cand_id","K_name","regime","multiplier","K","block_size","q_top","topq_error","l2_error","linf_error","ref_grad_norm"
"linear",3,6,0.1,8,"K2_c14","local",14,90,22,125,1.82660113702741,2.27165493261213,0.309924600052876,0.5
"linear",3,6,0.1,9,"K1_global","global",1,160,12,125,1.68598928086777,2.05095039711607,0.235425698292678,0.5
"linear",3,6,0.1,9,"K2_c10","local",10,64,31,125,2.40446805857244,2.93628429333136,0.453032380403875,0.5
"linear",3,6,0.1,9,"K2_c12","local",12,77,25,125,2.06391339216686,2.55111008645313,0.301964124036252,0.5
"linear",3,6,0.1,9,"K2_c14","local",14,90,22,125,1.8798863423473,2.32908584355926,0.349475199230636,0.5
"linear",3,6,0.1,10,"K1_global","global",1,160,12,125,1.63262530432903,2.0072511932329,0.228763843916245,0.5
"linear",3,6,0.1,10,"K2_c10","local",10,64,31,125,2.39056121335676,2.89543343784216,0.447053336966915,0.5
"linear",3,6,0.1,10,"K2_c12","local",12,77,25,125,2.11029410700436,2.58988781010381,0.315043460743544,0.5
"linear",3,6,0.1,10,"K2_c14","local",14,90,22,125,1.86169956919351,2.29651149376273,0.325299775064157,0.5
"linear",3,6,0.1,11,"K1_global","global",1,160,12,125,1.60112909242978,1.96771315458725,0.229962459796448,0.5
"linear",3,6,0.1,11,"K2_c10","local",10,64,31,125,2.35383472489276,2.9140956071241,0.384207439349927,0.5
"linear",3,6,0.1,11,"K2_c12","local",12,77,25,125,2.08345282920894,2.56123510745343,0.331710833047625,0.5
"linear",3,6,0.1,11,"K2_c14","local",14,90,22,125,1.84018447683727,2.26571236954955,0.30842665923677,0.5
"linear",3,6,0.1,12,"K1_global","global",1,160,12,125,1.69933649636312,2.09217489673544,0.293639866619075,0.5
"linear",3,6,0.1,12,"K2_c10","local",10,64,31,125,2.42750177394489,2.97267887938966,0.41247294556892,0.5
"linear",3,6,0.1,12,"K2_c12","local",12,77,25,125,2.01139719312895,2.48595039608375,0.323932877534472,0.5
"linear",3,6,0.1,12,"K2_c14","local",14,90,22,125,1.84462312839801,2.30399784148923,0.280449230713981,0.5
"linear",4,1,4,1,"K1_global","global",1,160,12,125,13.6412700873862,14.4129129279725,8.98860998391095,20
"linear",4,1,4,1,"K2_c10","local",10,64,31,125,14.1647881670372,15.6275670533707,8.44330136610884,20
"linear",4,1,4,1,"K2_c12","local",12,77,25,125,13.8889406105948,15.2172230576754,8.29927954759826,20
"linear",4,1,4,1,"K2_c14","local",14,90,22,125,13.752166105841,15.0875514875687,8.55870705881215,20
"linear",4,1,4,2,"K1_global","global",1,160,12,125,13.9402421081839,14.7769306255626,6.39989989994107,20
"linear",4,1,4,2,"K2_c10","local",10,64,31,125,14.214417032452,16.0006364660645,5.11164141600714,20
"linear",4,1,4,2,"K2_c12","local",12,77,25,125,13.5377669290914,15.0833272220624,5.38767224386715,20
"linear",4,1,4,2,"K2_c14","local",14,90,22,125,13.2183892256409,14.6544468436861,5.50093441630331,20
"linear",4,1,4,3,"K1_global","global",1,160,12,125,14.1085356660197,14.9028806717251,9.88072975502699,20
"linear",4,1,4,3,"K2_c10","local",10,64,31,125,14.1979872670146,15.8601623459168,8.31761459364798,20
"linear",4,1,4,3,"K2_c12","local",12,77,25,125,13.58924007872,14.894427236908,8.06591961264052,20
"linear",4,1,4,3,"K2_c14","local",14,90,22,125,13.267711638001,14.7546185373129,7.61160751016605,20
"linear",4,1,4,4,"K1_global","global",1,160,12,125,13.6270919540672,14.4248465691673,8.98640734036388,20
"linear",4,1,4,4,"K2_c10","local",10,64,31,125,13.9319287223509,15.4741758381873,8.05575666313525,20
"linear",4,1,4,4,"K2_c12","local",12,77,25,125,13.3292246542426,14.719922034745,7.91748004860894,20
"linear",4,1,4,4,"K2_c14","local",14,90,22,125,13.4447325424917,14.7959301221841,7.60450501114274,20
"linear",4,1,4,5,"K1_global","global",1,160,12,125,13.5639964299302,14.3147392720074,6.7089121603285,20
"linear",4,1,4,5,"K2_c10","local",10,64,31,125,13.7732059505334,15.4649960266536,5.32953032001157,20
"linear",4,1,4,5,"K2_c12","local",12,77,25,125,13.5331961318212,14.9015143575475,5.95715022898097,20
"linear",4,1,4,5,"K2_c14","local",14,90,22,125,13.4594280840428,14.7910033705969,5.78592591417577,20
"linear",4,1,4,6,"K1_global","global",1,160,12,125,13.448169266588,14.2051507571628,7.48897814673059,20
"linear",4,1,4,6,"K2_c10","local",10,64,31,125,13.8559370391742,15.4584028337818,6.21508639741861,20
"linear",4,1,4,6,"K2_c12","local",12,77,25,125,12.7134047758613,14.2707670833948,5.44072145736816,20
"linear",4,1,4,6,"K2_c14","local",14,90,22,125,13.3362117688816,14.5812895123979,6.66635355428803,20
"linear",4,1,4,7,"K1_global","global",1,160,12,125,13.8071058394774,14.4433437773492,8.35109041019425,20
"linear",4,1,4,7,"K2_c10","local",10,64,31,125,13.6303123600885,14.9748384176385,6.92174911429522,20
"linear",4,1,4,7,"K2_c12","local",12,77,25,125,13.623376345386,14.8607880254498,6.99296376896616,20
