"Config","arm_type","t","median_l2","q25_l2","q75_l2","n_rep"
"TS (q=0.25, T1=200, T2=8)","TS",11,9.30379359019986,9.07020579573679,9.50404072734872,100
"TS (q=0.25, T1=200, T2=8)","TS",12,8.89266459684399,8.65803466874494,9.08973994609035,100
"TS (q=0.25, T1=200, T2=8)","TS",13,8.49788586006926,8.2644603946731,8.70665189579126,100
"TS (q=0.25, T1=200, T2=8)","TS",14,8.12223391310551,7.89263856890565,8.3435832819833,100
"TS (q=0.25, T1=200, T2=8)","TS",15,7.7682351203293,7.53124029911316,7.99970934067997,100
"TS (q=0.25, T1=200, T2=8)","TS",16,7.43114697442652,7.18973505189359,7.67639877543403,100
"TS (q=0.25, T1=200, T2=8)","TS",17,7.11268240284539,6.87206799298557,7.35846081418087,100
"TS (q=0.25, T1=200, T2=8)","TS",18,6.80292791396883,6.5764301031077,7.06137368838704,100
"TS (q=0.25, T1=200, T2=8)","TS",19,6.51047591582569,6.29204287495982,6.77846768998605,100
"TS (q=0.25, T1=200, T2=8)","TS",20,6.24105395218073,6.01858511392755,6.5039491439741,100
"TS (q=0.25, T1=200, T2=8)","TS",21,5.98830257765011,5.75853007600837,6.24233933921996,100
"TS (q=0.25, T1=200, T2=8)","TS",22,5.74694998181182,5.51344847120678,5.99226601261193,100
"TS (q=0.25, T1=200, T2=8)","TS",23,5.51570770704702,5.28125365017532,5.75165784812172,100
"TS (q=0.25, T1=200, T2=8)","TS",24,5.29477524308149,5.06050928472584,5.52417936993538,100
"TS (q=0.25, T1=200, T2=8)","TS",25,5.08177467891929,4.85070843421182,5.31089068212904,100
"TS (q=0.25, T1=200, T2=8)","TS",26,4.87583220071765,4.64743501716788,5.09966391407574,100
"TS (q=0.25, T1=200, T2=8)","TS",27,4.67698835955397,4.45288059919,4.89925506312617,100
"TS (q=0.25, T1=200, T2=8)","TS",28,4.49144674530957,4.26834340404962,4.70690977533617,100
"TS (q=0.25, T1=200, T2=8)","TS",29,4.30995955422534,4.09269776145478,4.52138774467895,100
"TS (q=0.25, T1=200, T2=8)","TS",30,4.13516225767378,3.92490652327273,4.34382803464217,100
"TS (q=0.25, T1=200, T2=8)","TS",31,3.96869429742575,3.76420240214185,4.1739392597586,100
"TS (q=0.25, T1=200, T2=8)","TS",32,3.81013229547913,3.60137457635428,4.01183344978888,100
"TS (q=0.25, T1=200, T2=8)","TS",33,3.65908870609336,3.44727169751038,3.85890102888411,100
"TS (q=0.25, T1=200, T2=8)","TS",34,3.51412567099104,3.30649800186431,3.71308754289499,100
"TS (q=0.25, T1=200, T2=8)","TS",35,3.37462153621648,3.16713060072783,3.57064454543337,100
"TS (q=0.25, T1=200, T2=8)","TS",36,3.24187840144212,3.03450941072748,3.4345698553034,100
"TS (q=0.25, T1=200, T2=8)","TS",37,3.11555916320787,2.91114316349045,3.30355524413616,100
"TS (q=0.25, T1=200, T2=8)","TS",38,2.99473432385176,2.79303406703886,3.17985328382251,100
"TS (q=0.25, T1=200, T2=8)","TS",39,2.87776413394879,2.68106288305458,3.06093226644359,100
"TS (q=0.25, T1=200, T2=8)","TS",40,2.76592411533491,2.57436530621991,2.94598970577177,100
"TS (q=0.25, T1=200, T2=8)","TS",41,2.66117862084461,2.47187350273241,2.83358245395374,100
"TS (q=0.25, T1=200, T2=8)","TS",42,2.55816420422721,2.36905074213914,2.72523498727089,100
"TS (q=0.25, T1=200, T2=8)","TS",43,2.46068776333728,2.2698565980214,2.62085336407926,100
"TS (q=0.25, T1=200, T2=8)","TS",44,2.36203202168889,2.17522845045267,2.51965533930299,100
"TS (q=0.25, T1=200, T2=8)","TS",45,2.27063529247608,2.08433154868708,2.42236637872995,100
"TS (q=0.25, T1=200, T2=8)","TS",46,2.18274746613731,1.99736657790742,2.3295028369232,100
"TS (q=0.25, T1=200, T2=8)","TS",47,2.0976052773876,1.91489209451645,2.24212004241744,100
"TS (q=0.25, T1=200, T2=8)","TS",48,2.01630646916616,1.83687331734067,2.16153057001238,100
"TS (q=0.25, T1=200, T2=8)","TS",49,1.93809649293713,1.76278272561118,2.07843361424271,100
"TS (q=0.25, T1=200, T2=8)","TS",50,1.86298353032566,1.69262832868501,1.99863823401243,100
"TS (q=0.25, T1=200, T2=8)","TS",51,1.78814322524132,1.62632013001244,1.92212242170159,100
"TS (q=0.25, T1=200, T2=8)","TS",52,1.71723315753195,1.56400118237735,1.85269012046937,100
"TS (q=0.25, T1=200, T2=8)","TS",53,1.65172245412183,1.4997761025061,1.78206147326553,100
"TS (q=0.25, T1=200, T2=8)","TS",54,1.58970108428221,1.44174194897206,1.71377385353249,100
"TS (q=0.25, T1=200, T2=8)","TS",55,1.5296563516059,1.38568942078874,1.65108419857603,100
"TS (q=0.25, T1=200, T2=8)","TS",56,1.47144686295011,1.33070847224836,1.59309818826202,100
"TS (q=0.25, T1=200, T2=8)","TS",57,1.41435329510397,1.28164481831477,1.53726710718012,100
"TS (q=0.25, T1=200, T2=8)","TS",58,1.35965007084054,1.23491379335951,1.48320477268732,100
"TS (q=0.25, T1=200, T2=8)","TS",59,1.30813707446453,1.18526549935318,1.43082524687945,100
"TS (q=0.25, T1=200, T2=8)","TS",60,1.25870285005273,1.13886390261018,1.38019403553593,100
"TS (q=0.25, T1=200, T2=8)","TS",61,1.2117933167584,1.09382348667796,1.33198997001237,100
"TS (q=0.25, T1=200, T2=8)","TS",62,1.16681726014357,1.04680381353821,1.28562862330068,100
"TS (q=0.25, T1=200, T2=8)","TS",63,1.12340057096581,1.00208134748155,1.24074802748874,100
"TS (q=0.25, T1=200, T2=8)","TS",64,1.08078850519033,0.963094261826007,1.19722781619296,100
"TS (q=0.25, T1=200, T2=8)","TS",65,1.03866950473932,0.925288640328161,1.15407387326815,100
"TS (q=0.25, T1=200, T2=8)","TS",66,0.998530381377804,0.886457050534326,1.11041150267462,100
"TS (q=0.25, T1=200, T2=8)","TS",67,0.959674233834411,0.850650329625967,1.06585152165103,100
"TS (q=0.25, T1=200, T2=8)","TS",68,0.923591667628284,0.819259726262937,1.02286802932326,100
"TS (q=0.25, T1=200, T2=8)","TS",69,0.888851295681023,0.791372999538482,0.981637544360223,100
"TS (q=0.25, T1=200, T2=8)","TS",70,0.853609848536186,0.758742672919722,0.94419788256989,100
"TS (q=0.25, T1=200, T2=8)","TS",71,0.819758460819939,0.729607271556268,0.91153641917792,100
"TS (q=0.25, T1=200, T2=8)","TS",72,0.788192500261648,0.703588632616963,0.879465530491287,100
"TS (q=0.25, T1=200, T2=8)","TS",73,0.758260133694702,0.67922648622689,0.849724323393321,100
"TS (q=0.25, T1=200, T2=8)","TS",74,0.730336261923369,0.653998063403759,0.820679791071397,100
"TS (q=0.25, T1=200, T2=8)","TS",75,0.702165684828634,0.627576871568305,0.790216329735843,100
"TS (q=0.25, T1=200, T2=8)","TS",76,0.674991051555473,0.603747068511461,0.760673668304559,100
"TS (q=0.25, T1=200, T2=8)","TS",77,0.649343372348655,0.582730797341399,0.732329571238738,100
"TS (q=0.25, T1=200, T2=8)","TS",78,0.627260334924699,0.561984577244197,0.709775823923754,100
"TS (q=0.25, T1=200, T2=8)","TS",79,0.606714063302198,0.54299696568477,0.689119702113299,100
"TS (q=0.25, T1=200, T2=8)","TS",80,0.585129426090408,0.524397352582993,0.66855537738253,100
"TS (q=0.25, T1=200, T2=8)","TS",81,0.564220727475323,0.506400813311044,0.646002631046138,100
